date,game_mode,region,map,tier,hero_name,role,pick_rate(%),win_rate(%)
2026-01-24,quickplay,Asia,hanaoka,All,솔저: 76,DAMAGE,18.0,49.5
2026-01-24,quickplay,Asia,hanaoka,All,솜브라,DAMAGE,8.3,49.5
2026-01-24,quickplay,Asia,hanaoka,All,시그마,TANK,8.3,51.5
2026-01-24,quickplay,Asia,hanaoka,All,시메트라,DAMAGE,3.6,56.1
2026-01-24,quickplay,Asia,hanaoka,All,아나,SUPPORT,44.3,48.2
2026-01-24,quickplay,Asia,hanaoka,All,애쉬,DAMAGE,10.5,52.0
2026-01-24,quickplay,Asia,hanaoka,All,에코,DAMAGE,4.6,49.2
2026-01-24,quickplay,Asia,hanaoka,All,오리사,TANK,11.2,45.2
2026-01-24,quickplay,Asia,hanaoka,All,우양,SUPPORT,19.4,54.3
2026-01-24,quickplay,Asia,hanaoka,All,위도우메이커,DAMAGE,1.9,39.5
2026-01-24,quickplay,Asia,hanaoka,All,윈스턴,TANK,4.1,49.9
2026-01-24,quickplay,Asia,hanaoka,All,일리아리,SUPPORT,11.5,56.6
2026-01-24,quickplay,Asia,hanaoka,All,자리야,TANK,10.0,50.9
2026-01-24,quickplay,Asia,hanaoka,All,정커퀸,TANK,7.3,55.9
2026-01-24,quickplay,Asia,hanaoka,All,정크랫,DAMAGE,11.2,51.8
2026-01-24,quickplay,Asia,hanaoka,All,젠야타,SUPPORT,13.6,53.6
2026-01-24,quickplay,Asia,hanaoka,All,주노,SUPPORT,15.7,50.3
2026-01-24,quickplay,Asia,hanaoka,All,캐서디,DAMAGE,27.0,49.3
2026-01-24,quickplay,Asia,hanaoka,All,키리코,SUPPORT,32.5,46.9
2026-01-24,quickplay,Asia,hanaoka,All,토르비욘,DAMAGE,3.6,56.0
2026-01-24,quickplay,Asia,hanaoka,All,트레이서,DAMAGE,7.4,48.1
2026-01-24,quickplay,Asia,hanaoka,All,파라,DAMAGE,4.4,46.6
2026-01-24,quickplay,Asia,hanaoka,All,프레야,DAMAGE,6.0,44.4
2026-01-24,quickplay,Asia,hanaoka,All,한조,DAMAGE,8.3,47.0
2026-01-24,quickplay,Asia,hanaoka,All,해저드,TANK,3.5,49.6
2026-01-24,quickplay,Asia,nepal,All,D.Va,TANK,7.0,45.7
2026-01-24,quickplay,Asia,nepal,All,겐지,DAMAGE,15.3,49.6
2026-01-24,quickplay,Asia,nepal,All,둠피스트,TANK,16.3,50.5
2026-01-24,quickplay,Asia,nepal,All,라마트라,TANK,6.4,50.3
2026-01-24,quickplay,Asia,nepal,All,라이프위버,SUPPORT,7.0,45.0
2026-01-24,quickplay,Asia,nepal,All,라인하르트,TANK,10.1,53.3
2026-01-24,quickplay,Asia,nepal,All,레킹볼,TANK,3.9,46.6
2026-01-24,quickplay,Asia,nepal,All,로드호그,TANK,7.9,45.3
2026-01-24,quickplay,Asia,nepal,All,루시우,SUPPORT,10.4,52.4
2026-01-24,quickplay,Asia,nepal,All,리퍼,DAMAGE,10.5,53.1
2026-01-24,quickplay,Asia,nepal,All,마우가,TANK,4.0,48.8
2026-01-24,quickplay,Asia,nepal,All,메르시,SUPPORT,11.4,47.2
2026-01-24,quickplay,Asia,nepal,All,메이,DAMAGE,7.1,53.6
2026-01-24,quickplay,Asia,nepal,All,모이라,SUPPORT,17.3,50.5
2026-01-24,quickplay,Asia,nepal,All,바스티온,DAMAGE,12.4,50.6
2026-01-24,quickplay,Asia,nepal,All,바티스트,SUPPORT,8.4,47.0
2026-01-24,quickplay,Asia,nepal,All,벤데타,DAMAGE,14.0,54.5
2026-01-24,quickplay,Asia,nepal,All,벤처,DAMAGE,5.2,52.9
2026-01-24,quickplay,Asia,nepal,All,브리기테,SUPPORT,6.5,51.7
2026-01-24,quickplay,Asia,nepal,All,소전,DAMAGE,15.0,46.4
2026-01-24,quickplay,Asia,nepal,All,솔저: 76,DAMAGE,17.4,48.8
2026-01-24,quickplay,Asia,nepal,All,솜브라,DAMAGE,8.3,47.1
2026-01-24,quickplay,Asia,nepal,All,시그마,TANK,9.0,54.0
2026-01-24,quickplay,Asia,nepal,All,시메트라,DAMAGE,7.7,60.6
2026-01-24,quickplay,Asia,nepal,All,아나,SUPPORT,49.0,47.7
2026-01-24,quickplay,Asia,nepal,All,애쉬,DAMAGE,12.1,48.4
