date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-01-29,quickplay,Europe,throne-of-anubis,All,소전,DAMAGE,10.8,45.2
2026-01-29,quickplay,Europe,throne-of-anubis,All,솔저: 76,DAMAGE,15.2,49.0
2026-01-29,quickplay,Europe,throne-of-anubis,All,솜브라,DAMAGE,7.2,46.8
2026-01-29,quickplay,Europe,throne-of-anubis,All,시그마,TANK,7.5,49.9
2026-01-29,quickplay,Europe,throne-of-anubis,All,시메트라,DAMAGE,3.9,57.2
2026-01-29,quickplay,Europe,throne-of-anubis,All,아나,SUPPORT,29.5,47.0
2026-01-29,quickplay,Europe,throne-of-anubis,All,애쉬,DAMAGE,14.5,50.4
2026-01-29,quickplay,Europe,throne-of-anubis,All,에코,DAMAGE,6.9,50.9
2026-01-29,quickplay,Europe,throne-of-anubis,All,오리사,TANK,9.4,45.6
2026-01-29,quickplay,Europe,throne-of-anubis,All,우양,SUPPORT,11.1,51.7
2026-01-29,quickplay,Europe,throne-of-anubis,All,위도우메이커,DAMAGE,5.6,41.3
2026-01-29,quickplay,Europe,throne-of-anubis,All,윈스턴,TANK,2.9,48.1
2026-01-29,quickplay,Europe,throne-of-anubis,All,일리아리,SUPPORT,10.8,54.7
2026-01-29,quickplay,Europe,throne-of-anubis,All,자리야,TANK,6.0,49.1
2026-01-29,quickplay,Europe,throne-of-anubis,All,정커퀸,TANK,7.5,54.4
2026-01-29,quickplay,Europe,throne-of-anubis,All,정크랫,DAMAGE,15.0,52.3
2026-01-29,quickplay,Europe,throne-of-anubis,All,젠야타,SUPPORT,13.3,54.9
2026-01-29,quickplay,Europe,throne-of-anubis,All,주노,SUPPORT,18.6,50.5
2026-01-29,quickplay,Europe,throne-of-anubis,All,캐서디,DAMAGE,20.2,47.3
2026-01-29,quickplay,Europe,throne-of-anubis,All,키리코,SUPPORT,22.0,45.4
2026-01-29,quickplay,Europe,throne-of-anubis,All,토르비욘,DAMAGE,4.5,56.7
2026-01-29,quickplay,Europe,throne-of-anubis,All,트레이서,DAMAGE,4.9,45.1
2026-01-29,quickplay,Europe,throne-of-anubis,All,파라,DAMAGE,5.0,51.8
2026-01-29,quickplay,Europe,throne-of-anubis,All,프레야,DAMAGE,6.7,44.0
2026-01-29,quickplay,Europe,throne-of-anubis,All,한조,DAMAGE,11.8,47.3
2026-01-29,quickplay,Europe,throne-of-anubis,All,해저드,TANK,3.8,50.8
2026-01-29,quickplay,Europe,hanaoka,All,D.Va,TANK,10.7,47.8
2026-01-29,quickplay,Europe,hanaoka,All,겐지,DAMAGE,14.3,49.9
2026-01-29,quickplay,Europe,hanaoka,All,둠피스트,TANK,12.6,51.6
2026-01-29,quickplay,Europe,hanaoka,All,라마트라,TANK,7.8,49.6
2026-01-29,quickplay,Europe,hanaoka,All,라이프위버,SUPPORT,11.8,47.9
2026-01-29,quickplay,Europe,hanaoka,All,라인하르트,TANK,14.2,53.1
2026-01-29,quickplay,Europe,hanaoka,All,레킹볼,TANK,3.4,51.5
2026-01-29,quickplay,Europe,hanaoka,All,로드호그,TANK,7.6,44.0
2026-01-29,quickplay,Europe,hanaoka,All,루시우,SUPPORT,9.5,52.3
2026-01-29,quickplay,Europe,hanaoka,All,리퍼,DAMAGE,11.1,54.8
2026-01-29,quickplay,Europe,hanaoka,All,마우가,TANK,5.6,51.6
2026-01-29,quickplay,Europe,hanaoka,All,메르시,SUPPORT,30.7,48.0
2026-01-29,quickplay,Europe,hanaoka,All,메이,DAMAGE,6.6,52.4
2026-01-29,quickplay,Europe,hanaoka,All,모이라,SUPPORT,26.7,50.4
2026-01-29,quickplay,Europe,hanaoka,All,바스티온,DAMAGE,14.7,49.8
2026-01-29,quickplay,Europe,hanaoka,All,바티스트,SUPPORT,7.6,47.3
2026-01-29,quickplay,Europe,hanaoka,All,벤데타,DAMAGE,15.8,53.8
2026-01-29,quickplay,Europe,hanaoka,All,벤처,DAMAGE,4.2,52.3
