date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-02-12,quickplay,Asia,volskaya-industries,All,미즈키,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,volskaya-industries,All,바스티온,DAMAGE,13.6,48.5
2026-02-12,quickplay,Asia,volskaya-industries,All,바티스트,SUPPORT,8.9,47.1
2026-02-12,quickplay,Asia,volskaya-industries,All,벤데타,DAMAGE,13.1,54.8
2026-02-12,quickplay,Asia,volskaya-industries,All,벤처,DAMAGE,4.0,52.2
2026-02-12,quickplay,Asia,volskaya-industries,All,브리기테,SUPPORT,4.5,49.6
2026-02-12,quickplay,Asia,volskaya-industries,All,소전,DAMAGE,13.6,44.9
2026-02-12,quickplay,Asia,volskaya-industries,All,솔저: 76,DAMAGE,16.1,47.7
2026-02-12,quickplay,Asia,volskaya-industries,All,솜브라,DAMAGE,8.8,52.5
2026-02-12,quickplay,Asia,volskaya-industries,All,시그마,TANK,11.8,52.2
2026-02-12,quickplay,Asia,volskaya-industries,All,시메트라,DAMAGE,9.3,58.2
2026-02-12,quickplay,Asia,volskaya-industries,All,아나,SUPPORT,51.6,48.4
2026-02-12,quickplay,Asia,volskaya-industries,All,안란,DAMAGE,-1.0,-1.0
2026-02-12,quickplay,Asia,volskaya-industries,All,애쉬,DAMAGE,15.3,49.6
2026-02-12,quickplay,Asia,volskaya-industries,All,에코,DAMAGE,4.6,53.0
2026-02-12,quickplay,Asia,volskaya-industries,All,엠레,DAMAGE,-1.0,-1.0
2026-02-12,quickplay,Asia,volskaya-industries,All,오리사,TANK,10.2,45.6
2026-02-12,quickplay,Asia,volskaya-industries,All,우양,SUPPORT,17.1,50.7
2026-02-12,quickplay,Asia,volskaya-industries,All,위도우메이커,DAMAGE,5.1,45.9
2026-02-12,quickplay,Asia,volskaya-industries,All,윈스턴,TANK,5.6,54.0
2026-02-12,quickplay,Asia,volskaya-industries,All,일리아리,SUPPORT,13.5,51.4
2026-02-12,quickplay,Asia,volskaya-industries,All,자리야,TANK,10.5,52.3
2026-02-12,quickplay,Asia,volskaya-industries,All,정커퀸,TANK,3.7,53.7
2026-02-12,quickplay,Asia,volskaya-industries,All,정크랫,DAMAGE,9.0,48.3
2026-02-12,quickplay,Asia,volskaya-industries,All,제트팩 캣,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,volskaya-industries,All,젠야타,SUPPORT,14.9,56.1
2026-02-12,quickplay,Asia,volskaya-industries,All,주노,SUPPORT,14.5,50.5
2026-02-12,quickplay,Asia,volskaya-industries,All,캐서디,DAMAGE,21.2,47.7
2026-02-12,quickplay,Asia,volskaya-industries,All,키리코,SUPPORT,31.5,48.5
2026-02-12,quickplay,Asia,volskaya-industries,All,토르비욘,DAMAGE,6.1,45.0
2026-02-12,quickplay,Asia,volskaya-industries,All,트레이서,DAMAGE,5.7,46.9
2026-02-12,quickplay,Asia,volskaya-industries,All,파라,DAMAGE,6.0,54.4
2026-02-12,quickplay,Asia,volskaya-industries,All,프레야,DAMAGE,8.1,45.3
2026-02-12,quickplay,Asia,volskaya-industries,All,한조,DAMAGE,9.8,49.2
2026-02-12,quickplay,Asia,volskaya-industries,All,해저드,TANK,2.6,49.1
2026-02-12,quickplay,Asia,temple-of-anubis,All,D.Va,TANK,9.3,48.7
2026-02-12,quickplay,Asia,temple-of-anubis,All,겐지,DAMAGE,17.2,55.3
2026-02-12,quickplay,Asia,temple-of-anubis,All,도미나,TANK,-1.0,-1.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,둠피스트,TANK,19.4,51.4
2026-02-12,quickplay,Asia,temple-of-anubis,All,라마트라,TANK,5.9,48.4
2026-02-12,quickplay,Asia,temple-of-anubis,All,라이프위버,SUPPORT,7.4,46.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,라인하르트,TANK,10.1,52.2
2026-02-12,quickplay,Asia,temple-of-anubis,All,레킹볼,TANK,3.5,48.6
2026-02-12,quickplay,Asia,temple-of-anubis,All,로드호그,TANK,5.3,41.9
2026-02-12,quickplay,Asia,temple-of-anubis,All,루시우,SUPPORT,7.3,52.4
2026-02-12,quickplay,Asia,temple-of-anubis,All,리퍼,DAMAGE,9.7,52.2
2026-02-12,quickplay,Asia,temple-of-anubis,All,마우가,TANK,3.3,48.1
2026-02-12,quickplay,Asia,temple-of-anubis,All,메르시,SUPPORT,15.5,50.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,메이,DAMAGE,5.8,50.2
2026-02-12,quickplay,Asia,temple-of-anubis,All,모이라,SUPPORT,14.9,50.8
2026-02-12,quickplay,Asia,temple-of-anubis,All,미즈키,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,바스티온,DAMAGE,11.9,47.4
2026-02-12,quickplay,Asia,temple-of-anubis,All,바티스트,SUPPORT,8.9,46.3
2026-02-12,quickplay,Asia,temple-of-anubis,All,벤데타,DAMAGE,13.6,56.1
2026-02-12,quickplay,Asia,temple-of-anubis,All,벤처,DAMAGE,4.4,54.6
2026-02-12,quickplay,Asia,temple-of-anubis,All,브리기테,SUPPORT,5.1,48.7
2026-02-12,quickplay,Asia,temple-of-anubis,All,소전,DAMAGE,11.3,45.8
2026-02-12,quickplay,Asia,temple-of-anubis,All,솔저: 76,DAMAGE,14.0,45.4
2026-02-12,quickplay,Asia,temple-of-anubis,All,솜브라,DAMAGE,8.1,50.4
2026-02-12,quickplay,Asia,temple-of-anubis,All,시그마,TANK,11.7,51.5
2026-02-12,quickplay,Asia,temple-of-anubis,All,시메트라,DAMAGE,5.7,50.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,아나,SUPPORT,50.6,48.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,안란,DAMAGE,-1.0,-1.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,애쉬,DAMAGE,14.4,48.1
2026-02-12,quickplay,Asia,temple-of-anubis,All,에코,DAMAGE,4.8,55.5
2026-02-12,quickplay,Asia,temple-of-anubis,All,엠레,DAMAGE,-1.0,-1.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,오리사,TANK,9.8,45.2
2026-02-12,quickplay,Asia,temple-of-anubis,All,우양,SUPPORT,16.8,52.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,위도우메이커,DAMAGE,12.1,53.2
2026-02-12,quickplay,Asia,temple-of-anubis,All,윈스턴,TANK,7.4,55.2
2026-02-12,quickplay,Asia,temple-of-anubis,All,일리아리,SUPPORT,14.0,51.8
2026-02-12,quickplay,Asia,temple-of-anubis,All,자리야,TANK,7.8,50.9
2026-02-12,quickplay,Asia,temple-of-anubis,All,정커퀸,TANK,3.6,53.8
2026-02-12,quickplay,Asia,temple-of-anubis,All,정크랫,DAMAGE,12.6,50.7
2026-02-12,quickplay,Asia,temple-of-anubis,All,제트팩 캣,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,temple-of-anubis,All,젠야타,SUPPORT,14.7,55.6
2026-02-12,quickplay,Asia,temple-of-anubis,All,주노,SUPPORT,13.6,50.7
2026-02-12,quickplay,Asia,temple-of-anubis,All,캐서디,DAMAGE,18.7,43.3
2026-02-12,quickplay,Asia,temple-of-anubis,All,키리코,SUPPORT,31.4,47.9
2026-02-12,quickplay,Asia,temple-of-anubis,All,토르비욘,DAMAGE,5.9,46.1
2026-02-12,quickplay,Asia,temple-of-anubis,All,트레이서,DAMAGE,4.6,45.6
2026-02-12,quickplay,Asia,temple-of-anubis,All,파라,DAMAGE,7.9,59.7
2026-02-12,quickplay,Asia,temple-of-anubis,All,프레야,DAMAGE,8.0,45.1
2026-02-12,quickplay,Asia,temple-of-anubis,All,한조,DAMAGE,9.2,50.2
2026-02-12,quickplay,Asia,temple-of-anubis,All,해저드,TANK,3.2,50.6
2026-02-12,quickplay,Asia,throne-of-anubis,All,D.Va,TANK,6.7,46.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,겐지,DAMAGE,15.9,51.0
2026-02-12,quickplay,Asia,throne-of-anubis,All,도미나,TANK,-1.0,-1.0
2026-02-12,quickplay,Asia,throne-of-anubis,All,둠피스트,TANK,16.2,52.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,라마트라,TANK,6.7,48.8
2026-02-12,quickplay,Asia,throne-of-anubis,All,라이프위버,SUPPORT,6.7,46.5
2026-02-12,quickplay,Asia,throne-of-anubis,All,라인하르트,TANK,11.8,51.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,레킹볼,TANK,4.0,54.2
2026-02-12,quickplay,Asia,throne-of-anubis,All,로드호그,TANK,5.4,42.5
2026-02-12,quickplay,Asia,throne-of-anubis,All,루시우,SUPPORT,9.3,52.2
2026-02-12,quickplay,Asia,throne-of-anubis,All,리퍼,DAMAGE,12.4,54.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,마우가,TANK,4.5,49.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,메르시,SUPPORT,11.2,46.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,메이,DAMAGE,7.6,53.1
2026-02-12,quickplay,Asia,throne-of-anubis,All,모이라,SUPPORT,18.9,49.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,미즈키,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,throne-of-anubis,All,바스티온,DAMAGE,12.1,48.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,바티스트,SUPPORT,8.7,47.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,벤데타,DAMAGE,16.6,53.6
2026-02-12,quickplay,Asia,throne-of-anubis,All,벤처,DAMAGE,5.9,53.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,브리기테,SUPPORT,8.1,52.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,소전,DAMAGE,13.9,45.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,솔저: 76,DAMAGE,16.0,48.1
2026-02-12,quickplay,Asia,throne-of-anubis,All,솜브라,DAMAGE,7.9,47.6
2026-02-12,quickplay,Asia,throne-of-anubis,All,시그마,TANK,8.1,50.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,시메트라,DAMAGE,4.8,58.6
2026-02-12,quickplay,Asia,throne-of-anubis,All,아나,SUPPORT,46.3,48.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,안란,DAMAGE,0.5,49.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,애쉬,DAMAGE,10.1,49.1
2026-02-12,quickplay,Asia,throne-of-anubis,All,에코,DAMAGE,5.4,50.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,엠레,DAMAGE,-1.0,-1.0
2026-02-12,quickplay,Asia,throne-of-anubis,All,오리사,TANK,11.0,45.8
2026-02-12,quickplay,Asia,throne-of-anubis,All,우양,SUPPORT,19.4,53.0
2026-02-12,quickplay,Asia,throne-of-anubis,All,위도우메이커,DAMAGE,1.7,39.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,윈스턴,TANK,3.8,49.4
2026-02-12,quickplay,Asia,throne-of-anubis,All,일리아리,SUPPORT,12.1,55.8
2026-02-12,quickplay,Asia,throne-of-anubis,All,자리야,TANK,10.5,49.9
2026-02-12,quickplay,Asia,throne-of-anubis,All,정커퀸,TANK,7.8,56.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,정크랫,DAMAGE,12.6,52.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,제트팩 캣,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,throne-of-anubis,All,젠야타,SUPPORT,13.3,54.2
2026-02-12,quickplay,Asia,throne-of-anubis,All,주노,SUPPORT,15.4,50.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,캐서디,DAMAGE,26.2,47.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,키리코,SUPPORT,30.7,46.8
2026-02-12,quickplay,Asia,throne-of-anubis,All,토르비욘,DAMAGE,3.8,55.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,트레이서,DAMAGE,7.1,47.3
2026-02-12,quickplay,Asia,throne-of-anubis,All,파라,DAMAGE,5.8,50.0
2026-02-12,quickplay,Asia,throne-of-anubis,All,프레야,DAMAGE,5.8,44.2
2026-02-12,quickplay,Asia,throne-of-anubis,All,한조,DAMAGE,8.1,48.2
2026-02-12,quickplay,Asia,throne-of-anubis,All,해저드,TANK,3.5,49.4
2026-02-12,quickplay,Asia,lijiang-tower,All,D.Va,TANK,7.0,45.8
2026-02-12,quickplay,Asia,lijiang-tower,All,겐지,DAMAGE,14.0,50.4
2026-02-12,quickplay,Asia,lijiang-tower,All,도미나,TANK,-1.0,-1.0
2026-02-12,quickplay,Asia,lijiang-tower,All,둠피스트,TANK,16.7,51.7
2026-02-12,quickplay,Asia,lijiang-tower,All,라마트라,TANK,6.1,49.8
2026-02-12,quickplay,Asia,lijiang-tower,All,라이프위버,SUPPORT,6.8,45.5
2026-02-12,quickplay,Asia,lijiang-tower,All,라인하르트,TANK,10.8,54.1
2026-02-12,quickplay,Asia,lijiang-tower,All,레킹볼,TANK,5.1,48.6
2026-02-12,quickplay,Asia,lijiang-tower,All,로드호그,TANK,6.4,44.4
2026-02-12,quickplay,Asia,lijiang-tower,All,루시우,SUPPORT,14.7,54.7
2026-02-12,quickplay,Asia,lijiang-tower,All,리퍼,DAMAGE,9.9,52.8
2026-02-12,quickplay,Asia,lijiang-tower,All,마우가,TANK,3.9,48.0
2026-02-12,quickplay,Asia,lijiang-tower,All,메르시,SUPPORT,11.7,47.3
2026-02-12,quickplay,Asia,lijiang-tower,All,메이,DAMAGE,6.6,51.9
2026-02-12,quickplay,Asia,lijiang-tower,All,모이라,SUPPORT,16.7,50.9
2026-02-12,quickplay,Asia,lijiang-tower,All,미즈키,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,lijiang-tower,All,바스티온,DAMAGE,12.1,49.4
2026-02-12,quickplay,Asia,lijiang-tower,All,바티스트,SUPPORT,8.3,46.6
2026-02-12,quickplay,Asia,lijiang-tower,All,벤데타,DAMAGE,13.0,54.4
2026-02-12,quickplay,Asia,lijiang-tower,All,벤처,DAMAGE,5.0,52.9
2026-02-12,quickplay,Asia,lijiang-tower,All,브리기테,SUPPORT,6.4,51.0
2026-02-12,quickplay,Asia,lijiang-tower,All,소전,DAMAGE,14.1,45.5
2026-02-12,quickplay,Asia,lijiang-tower,All,솔저: 76,DAMAGE,16.8,47.8
2026-02-12,quickplay,Asia,lijiang-tower,All,솜브라,DAMAGE,7.9,46.4
2026-02-12,quickplay,Asia,lijiang-tower,All,시그마,TANK,8.0,51.8
2026-02-12,quickplay,Asia,lijiang-tower,All,시메트라,DAMAGE,8.7,62.3
2026-02-12,quickplay,Asia,lijiang-tower,All,아나,SUPPORT,48.8,47.1
2026-02-12,quickplay,Asia,lijiang-tower,All,안란,DAMAGE,0.5,46.1
2026-02-12,quickplay,Asia,lijiang-tower,All,애쉬,DAMAGE,10.7,46.9
2026-02-12,quickplay,Asia,lijiang-tower,All,에코,DAMAGE,6.2,49.3
2026-02-12,quickplay,Asia,lijiang-tower,All,엠레,DAMAGE,-1.0,-1.0
2026-02-12,quickplay,Asia,lijiang-tower,All,오리사,TANK,12.9,47.6
2026-02-12,quickplay,Asia,lijiang-tower,All,우양,SUPPORT,18.3,52.5
2026-02-12,quickplay,Asia,lijiang-tower,All,위도우메이커,DAMAGE,2.0,39.1
2026-02-12,quickplay,Asia,lijiang-tower,All,윈스턴,TANK,4.5,50.1
2026-02-12,quickplay,Asia,lijiang-tower,All,일리아리,SUPPORT,11.7,55.5
2026-02-12,quickplay,Asia,lijiang-tower,All,자리야,TANK,10.9,50.8
2026-02-12,quickplay,Asia,lijiang-tower,All,정커퀸,TANK,5.1,54.3
2026-02-12,quickplay,Asia,lijiang-tower,All,정크랫,DAMAGE,11.9,52.0
2026-02-12,quickplay,Asia,lijiang-tower,All,제트팩 캣,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,lijiang-tower,All,젠야타,SUPPORT,12.9,52.8
2026-02-12,quickplay,Asia,lijiang-tower,All,주노,SUPPORT,13.4,50.2
2026-02-12,quickplay,Asia,lijiang-tower,All,캐서디,DAMAGE,25.2,46.2
2026-02-12,quickplay,Asia,lijiang-tower,All,키리코,SUPPORT,30.2,47.3
2026-02-12,quickplay,Asia,lijiang-tower,All,토르비욘,DAMAGE,3.0,54.2
2026-02-12,quickplay,Asia,lijiang-tower,All,트레이서,DAMAGE,7.1,47.0
2026-02-12,quickplay,Asia,lijiang-tower,All,파라,DAMAGE,12.2,55.9
2026-02-12,quickplay,Asia,lijiang-tower,All,프레야,DAMAGE,5.7,44.6
2026-02-12,quickplay,Asia,lijiang-tower,All,한조,DAMAGE,7.4,49.1
2026-02-12,quickplay,Asia,lijiang-tower,All,해저드,TANK,2.6,51.1
2026-02-12,quickplay,Asia,route-66,All,D.Va,TANK,11.6,48.7
2026-02-12,quickplay,Asia,route-66,All,겐지,DAMAGE,14.5,51.9
2026-02-12,quickplay,Asia,route-66,All,도미나,TANK,-1.0,-1.0
2026-02-12,quickplay,Asia,route-66,All,둠피스트,TANK,12.1,51.4
2026-02-12,quickplay,Asia,route-66,All,라마트라,TANK,5.9,49.7
2026-02-12,quickplay,Asia,route-66,All,라이프위버,SUPPORT,8.9,48.1
2026-02-12,quickplay,Asia,route-66,All,라인하르트,TANK,8.1,50.6
2026-02-12,quickplay,Asia,route-66,All,레킹볼,TANK,3.7,51.7
2026-02-12,quickplay,Asia,route-66,All,로드호그,TANK,5.2,43.4
2026-02-12,quickplay,Asia,route-66,All,루시우,SUPPORT,5.1,49.9
2026-02-12,quickplay,Asia,route-66,All,리퍼,DAMAGE,8.8,52.5
2026-02-12,quickplay,Asia,route-66,All,마우가,TANK,3.7,46.1
2026-02-12,quickplay,Asia,route-66,All,메르시,SUPPORT,15.5,48.3
2026-02-12,quickplay,Asia,route-66,All,메이,DAMAGE,5.8,54.5
2026-02-12,quickplay,Asia,route-66,All,모이라,SUPPORT,13.6,47.3
2026-02-12,quickplay,Asia,route-66,All,미즈키,SUPPORT,-1.0,-1.0
2026-02-12,quickplay,Asia,route-66,All,바스티온,DAMAGE,13.0,48.9
2026-02-12,quickplay,Asia,route-66,All,바티스트,SUPPORT,9.7,48.1
2026-02-12,quickplay,Asia,route-66,All,벤데타,DAMAGE,10.6,55.5
2026-02-12,quickplay,Asia,route-66,All,벤처,DAMAGE,3.4,53.5
2026-02-12,quickplay,Asia,route-66,All,브리기테,SUPPORT,4.0,51.0
2026-02-12,quickplay,Asia,route-66,All,소전,DAMAGE,14.1,44.8
2026-02-12,quickplay,Asia,route-66,All,솔저: 76,DAMAGE,18.9,48.5
2026-02-12,quickplay,Asia,route-66,All,솜브라,DAMAGE,8.1,48.0
2026-02-12,quickplay,Asia,route-66,All,시그마,TANK,15.8,56.1
2026-02-12,quickplay,Asia,route-66,All,시메트라,DAMAGE,2.9,53.6
2026-02-12,quickplay,Asia,route-66,All,아나,SUPPORT,53.4,49.0
